gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
437729315	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441335190442FGgUmoJYv1UyLBAw										http://creativecommons.org/licenses/by/4.0/	
437673300	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441305096537VfQvn1Mhyq4JQpeQ										http://creativecommons.org/licenses/by/4.0/	
437486506	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441350075000db1Caaw19EQEPazf										http://creativecommons.org/licenses/by/4.0/	
437332546	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1443493154041HomP6rKf62zF6ebc							Paris, Museum National d'Histoire Naturelle, ER			http://creativecommons.org/licenses/by/4.0/	
437247353	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1442377658347M7MDEg2zqkId6wXh							Paris, Museum National d'Histoire Naturelle, XF			http://creativecommons.org/licenses/by/4.0/	
437163221	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441306158500J7VWPZdQiQ5VIZ47										http://creativecommons.org/licenses/by/4.0/	
4172801427	StillImage	image/jpeg	https://botanydb.colorado.edu/botany/COLO_V/02697/02697076.jpg										http://creativecommons.org/licenses/by-nc-sa/3.0/	University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V)
4171851989	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/306401087/original.jpeg	https://www.inaturalist.org/photos/306401087					2023-08-02T19:42:21Z	Stéphane Bonhomme		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Stéphane Bonhomme
4171851989	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/306401102/original.jpeg	https://www.inaturalist.org/photos/306401102					2023-08-02T19:42:18Z	Stéphane Bonhomme		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Stéphane Bonhomme
4171672360	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/303197089/original.jpeg	https://www.inaturalist.org/photos/303197089					2023-07-18T19:17:36Z	Chiaramonte family		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chiaramonte family
4171495357	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/303197723/original.jpeg	https://www.inaturalist.org/photos/303197723					2023-07-18T19:12:41Z	Chiaramonte family		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chiaramonte family
4171422612	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305382581/original.jpeg	https://www.inaturalist.org/photos/305382581					2023-07-30T20:15:40Z	mikhail_on_fire		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mikhail_on_fire
4171406566	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/258674580/original.jpg	https://www.inaturalist.org/photos/258674580					2023-03-02T15:05:18Z	fiorinaberezovsky		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	fiorinaberezovsky
4171351777	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/301176072/original.jpeg	https://www.inaturalist.org/photos/301176072					2023-07-13T16:35:56Z	lecleret		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lecleret
4171211044	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/301177745/original.jpeg	https://www.inaturalist.org/photos/301177745					2023-07-13T17:43:00Z	lecleret		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lecleret
4165695843	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/302852204/original.jpeg	https://www.inaturalist.org/photos/302852204					2023-07-18T21:44:08Z	Chiaramonte family		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chiaramonte family
4165577842	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/301759123/original.jpeg	https://www.inaturalist.org/photos/301759123					2023-07-04T02:54:06Z	Javier Castrillo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Javier Castrillo
4165005691	StillImage	image/jpeg	http://sweetgum.nybg.org/images3/4163/706/04953965.jpg							The New York Botanical Garden			http://creativecommons.org/licenses/by/4.0/	The New York Botanical Garden
4162560321	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/301065718/original.jpeg	https://www.inaturalist.org/photos/301065718					2023-06-26T07:42:55Z	Samuel GUIRAUDOU		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Samuel GUIRAUDOU
4162043580	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298485057/original.jpeg	https://www.inaturalist.org/photos/298485057					2020-07-11T23:30:41Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4156509473	StillImage	image/jpeg	https://observation.org/photos/64879139.jpg							Silvia Lippert			http://creativecommons.org/licenses/by-nc-nd/4.0/	Silvia Lippert
4154011033	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298483967/original.jpeg	https://www.inaturalist.org/photos/298483967					2020-07-11T18:29:52Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153986968	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298486028/original.jpeg	https://www.inaturalist.org/photos/298486028					2020-07-11T23:57:20Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153975027	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298486223/original.jpg	https://www.inaturalist.org/photos/298486223					2020-07-12T00:05:57Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153972729	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298486354/original.jpeg	https://www.inaturalist.org/photos/298486354					2020-07-12T00:14:09Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153962583	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298485499/original.jpeg	https://www.inaturalist.org/photos/298485499					2020-07-11T23:41:07Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4153914065	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298483579/original.jpeg	https://www.inaturalist.org/photos/298483579					2020-07-11T18:20:56Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
